Código do Alimento,Nome do alimento,Código e descrição da preparação,,Energia (kcal),"Proteína
 (g)","Lipídios totais
 (g)","Carboi-
 drato
 (g)",Fibra alimentar total (g)
Cereais e leguminosas,,,,,,,,
6302901,Lentilha,99,Não se aplica,"136,28","9,02","2,67","20,13","5,86"
6303001,Soja em grão,99,Não se aplica,"196,34","16,64","11,61","9,93",6
6303102,"Feijão (preto, mulatinho, roxo, rosinha, etc.)",99,Não se aplica,"97,41","5,84","1,79","15,05","3,78"
6303501,Quirera não especificada,99,Não se aplica,"62,95","1,24","0,31","13,5","0,67"
6304034,Feijão-verde orgânico,99,Não se aplica,"121,33","3,17","3,13","20,32",5
6304101,Feijão orgânico,99,Não se aplica,"97,41","5,84","1,79","15,05","3,78"
6304201,Pipoca light,99,Não se aplica,"445,94","10,77","17,78","64,85","12,07"
6304301,Arroz orgânico,99,Não se aplica,"135,62","2,5","1,2","27,78","1,55"
6304401,Arroz integral orgânico,99,Não se aplica,"130,95","2,56","1,97","25,56","2,72"
6304602,Feijão-de-soja orgânico,99,Não se aplica,"196,34","16,64","11,61","9,93",6
6304901,Quinoa,99,Não se aplica,"135,47","4,37","4,33","19,83","2,16"
Hortaliças tuberosas,,,,,,,,
6400101,Batata-inglesa,1,Cru(a),86,"1,71","0,1","20,01","2,05"
6400101,Batata-inglesa,2,Cozido(a),86,"1,71","0,1","20,01","2,05"
6400101,Batata-inglesa,3,Grelhado(a)/brasa/churrasco,86,"1,71","0,1","20,01","2,05"
6400101,Batata-inglesa,4,Assado(a),86,"1,71","0,1","20,01","2,05"
6400101,Batata-inglesa,5,Frito(a),"263,5","2,87","13,64","33,6","3,44"
6400101,Batata-inglesa,7,Refogado(a),"111,74","1,71","3,01","20,01","2,05"
6400101,Batata-inglesa,8,Molho vermelho,"73,6","1,63","0,12","17,08","1,94"
6400101,Batata-inglesa,9,Molho branco,"101,39","2,15","2,57","17,86","1,68"
6400101,Batata-inglesa,10,Ao alho e óleo,"263,5","2,87","13,64","33,6","3,44"
6400101,Batata-inglesa,11,Com manteiga/óleo,"111,74","1,71","3,01","20,01","2,05"
6400101,Batata-inglesa,13,Ensopado,"111,74","1,71","3,01","20,01","2,05"
6400101,Batata-inglesa,15,Sopa,"31,44","0,95","0,12","7,01","0,71"
6400101,Batata-inglesa,99,Não se aplica,86,"1,71","0,1","20,01","2,05"
6400303,Mandioquinha salsa (batata-baroa),2,Cozido(a),76,"1,37","0,14","17,72","2,5"
6400303,Mandioquinha salsa (batata-baroa),7,Refogado(a),"91,74","1,37","1,92","17,72","2,5"
6400303,Mandioquinha salsa (batata-baroa),13,Ensopado,"91,74","1,37","1,92","17,72","2,5"
6400303,Mandioquinha salsa (batata-baroa),99,Não se aplica,76,"1,37","0,14","17,72","2,5"
6400304,Cenoura amarela (batata-baroa),99,Não se aplica,76,"1,37","0,14","17,72","2,5"
6400401,Batata-doce,1,Cru(a),76,"1,37","0,14","17,72","2,5"
6400401,Batata-doce,2,Cozido(a),76,"1,37","0,14","17,72","2,5"
6400401,Batata-doce,4,Assado(a),90,"2,01","0,15","20,71","3,3"
6400401,Batata-doce,5,Frito(a),"351,28","4,4","12,59","56,88","8,03"
6400401,Batata-doce,7,Refogado(a),"91,74","1,37","1,92","17,72","2,5"
6400401,Batata-doce,13,Ensopado,"91,74","1,37","1,92","17,72","2,5"
6400401,Batata-doce,99,Não se aplica,76,"1,37","0,14","17,72","2,5"
6400501,Inhame,1,Cru(a),100,"1,71","0,12","23,4","1,8"
6400501,Inhame,2,Cozido(a),100,"1,71","0,12","23,4","1,8"
6400501,Inhame,4,Assado(a),90,"2,01","0,15","20,71","3,3"
6400501,Inhame,5,Frito(a),"115,74","1,71","1,9","23,4","1,8"
6400501,Inhame,7,Refogado(a),"115,74","1,71","1,9","23,4","1,8"
6400501,Inhame,13,Ensopado,"115,74","1,71","1,9","23,4","1,8"
6400501,Inhame,15,Sopa,"31,44","0,95","0,12","7,01","0,71"
6400508,Quicaré,99,Não se aplica,100,"1,71","0,12","23,4","1,8"
6400601,Mandioca,1,Cru(a),125,"0,6","0,3","30,1","1,6"
6400601,Mandioca,2,Cozido(a),125,"0,6","0,3","30,1","1,6"
6400601,Mandioca,4,Assado(a),125,"0,6","0,3","30,1","1,6"
6400601,Mandioca,5,Frito(a),"162,74","0,57","5,26","28,6","1,52"
